"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","question_order","init_locations","moves","final_locations","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","1108","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","37934","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","consent","36824","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","129733","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","91797","","","[{""page_index"":0,""viewing_time"":91797}]","","","","","","","","",""
"","","","","","survey-slider","3","null","211383","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","81644","","{""Q0"":""96"",""Q1"":""95"",""Q2"":""96"",""Q3"":""78"",""Q4"":""94"",""Q5"":""88"",""Q6"":""99"",""Q7"":""94"",""Q8"":""97"",""Q9"":""95"",""Q10"":""96"",""Q11"":""96"",""Q12"":""73"",""Q13"":""96""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","4","null","305294","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","93907.20000004768","","{""Q0"":""79"",""Q1"":""50"",""Q2"":""73"",""Q3"":""98"",""Q4"":""25"",""Q5"":""96"",""Q6"":""67"",""Q7"":""96"",""Q8"":""50"",""Q9"":""77"",""Q10"":""51"",""Q11"":""74"",""Q12"":""50"",""Q13"":""51""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","5","null","424103","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","118804.79999995232","","{""Q0"":""98"",""Q1"":""98"",""Q2"":""97"",""Q3"":""50"",""Q4"":""51"",""Q5"":""51"",""Q6"":""97"",""Q7"":""67"",""Q8"":""94"",""Q9"":""70"",""Q10"":""97"",""Q11"":""69"",""Q12"":""97"",""Q13"":""97""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","6","null","491213","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","67102.70000004768","","{""Q0"":""50"",""Q1"":""97"",""Q2"":""98"",""Q3"":""98"",""Q4"":""67"",""Q5"":""0"",""Q6"":""50"",""Q7"":""100"",""Q8"":""71"",""Q9"":""98"",""Q10"":""51"",""Q11"":""69"",""Q12"":""67"",""Q13"":""100"",""Q14"":""73""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","","","",""
"","","","","","survey-slider","7","null","585255","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","94036.5","","{""Q0"":""73"",""Q1"":""87"",""Q2"":""58"",""Q3"":""27"",""Q4"":""92"",""Q5"":""39"",""Q6"":""77"",""Q7"":""77"",""Q8"":""77"",""Q9"":""63"",""Q10"":""50"",""Q11"":""50"",""Q12"":""93"",""Q13"":""50""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","8","null","680718","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","95459.30000019073","","{""Q0"":""81"",""Q1"":""99"",""Q2"":""73"",""Q3"":""49"",""Q4"":""50"",""Q5"":""38"",""Q6"":""62"",""Q7"":""100"",""Q8"":""96"",""Q9"":""61"",""Q10"":""76"",""Q11"":""74"",""Q12"":""36"",""Q13"":""64""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13]","","","","","","","",""
"","","","","","survey-slider","9","null","750733","4C906ACB19764635A2683367A6374361","ab42a689-6c24-496d-93f0-c12982b60336","05fd0b52-8b4d-4eb8-b40d-96df91de9c8e","","70010.70000004768","","{""Q0"":""76"",""Q1"":""75"",""Q2"":""96"",""Q3"":""87"",""Q4"":""40"",""Q5"":""23"",""Q6"":""99"",""Q7"":""74"",""Q8"":""97"",""Q9"":""72"",""Q10"":""87"",""Q11"":""37"",""Q12"":""75"",""Q13"":""78"",""Q14"":""90""}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","","","","","","","",""
