"filename","trial_type","trial_type_order","trial_index","question_index","response","itemA","itemB","categoryA","categoryB","attention_check","correct_response","original_trial_index","original_question_index","x","y","item"
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,1,65,"get sick","become hungry","physiological","physiological",FALSE,NA,7,"0",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,2,70,"remember something","become hungry","cognitive","physiological",FALSE,NA,7,"1",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,3,26,"reach for something","become hungry","physical","physiological",FALSE,NA,7,"2",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,4,67,"get tired","become hungry","physiological","physiological",FALSE,NA,7,"3",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,5,82,"jump up and down","become hungry","physical","physiological",FALSE,NA,7,"4",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,6,64,"think about something","become hungry","cognitive","physiological",FALSE,NA,7,"5",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,7,27,"see something","become hungry","cognitive","physiological",FALSE,NA,7,"6",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,8,3,"kick something","become hungry","physical","physiological",FALSE,NA,7,"7",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,9,10,"sit down","become hungry","physical","physiological",FALSE,NA,7,"8",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,10,68,"choose what to do","become hungry","cognitive","physiological",FALSE,NA,7,"9",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,11,12,"feel scared","become hungry","physiological","physiological",FALSE,NA,7,"10",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,12,14,"experience pain","become hungry","physiological","physiological",FALSE,NA,7,"11",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,13,77,"take a walk","become hungry","physical","physiological",FALSE,NA,7,"12",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,14,17,"hear something","become hungry","cognitive","physiological",FALSE,NA,7,"13",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",1,15,20,"become hungry","become hungry","physiological","physiological",FALSE,NA,7,"14",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",2,16,70,"hear something","think about something","cognitive","cognitive",FALSE,NA,8,"0",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",2,17,27,"jump up and down","think about something","physical","cognitive",FALSE,NA,8,"1",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",2,18,37,"feel scared","think about something","physiological","cognitive",FALSE,NA,8,"2",NA,NA,NA
"2024-12-14_17-13-10_B123286873C8481988A52420BF087B2C.csv","causation","second",2,19,73,"remember something","think about something","cognitive","cognitive",FALSE,NA,8,"3",NA,NA,NA
