"mturk_participant_id","trial_id","rt","response","itemA","itemB","categoryA","categoryB","type","category_pairs","item_pairs","item_pair_means"
"pilot_2w19ksqx74","causal_trial_1",6897,78,"feel tired","remember something","bio","cog","across domain","bio-cog","feel tired-remember something",77
"pilot_2w19ksqx74","causal_trial_2",26109,25,"feel pain","jump up and down","bio","act","across domain","bio-act","feel pain-jump up and down",48
"pilot_2w19ksqx74","causal_trial_3",4350,78,"think about something","feel sick","cog","bio","across domain","cog-bio","think about something-feel sick",81
"pilot_2w19ksqx74","causal_trial_4",11835,68,"take a walk","hear something","act","cog","across domain","act-cog","take a walk-hear something",39
"pilot_2w19ksqx74","causal_trial_5",8079,60,"feel tired","feel scared","bio","bio","within domain","bio-bio","feel tired-feel scared",51
"pilot_2w19ksqx74","causal_trial_6",17583,92,"take a walk","choose what to do","act","cog","across domain","act-cog","take a walk-choose what to do",59
"pilot_2w19ksqx74","causal_trial_7",10788,87,"hear something","sit down","cog","act","across domain","cog-act","hear something-sit down",87
"pilot_2w19ksqx74","causal_trial_8",4936,84,"sit down","remember something","act","cog","across domain","act-cog","sit down-remember something",69
"pilot_2w19ksqx74","causal_trial_9",8177,75,"think about something","kick something","cog","act","across domain","cog-act","think about something-kick something",62
"pilot_2w19ksqx74","causal_trial_10",6071,27,"feel hungry","hear something","bio","cog","across domain","bio-cog","feel hungry-hear something",36
"pilot_2w19ksqx74","causal_trial_11",3552,76,"see something","feel pain","cog","bio","across domain","cog-bio","see something-feel pain",64
"pilot_2w19ksqx74","causal_trial_12",5412,63,"feel scared","feel hungry","bio","bio","within domain","bio-bio","feel scared-feel hungry",63
"pilot_2w19ksqx74","causal_trial_13",7142,95,"think about something","take a walk","cog","act","across domain","cog-act","think about something-take a walk",83
"pilot_2w19ksqx74","causal_trial_14",4670,68,"feel tired","feel pain","bio","bio","within domain","bio-bio","feel tired-feel pain",67
"pilot_2w19ksqx74","causal_trial_15",8285,68,"choose what to do","take a walk","cog","act","across domain","cog-act","choose what to do-take a walk",76
"pilot_2w19ksqx74","causal_trial_16",32769,78,"take a walk","jump up and down","act","act","within domain","act-act","take a walk-jump up and down",56
"pilot_2w19ksqx74","causal_trial_17",6650,85,"feel scared","choose what to do","bio","cog","across domain","bio-cog","feel scared-choose what to do",76
"pilot_2w19ksqx74","causal_trial_18",4366,40,"remember something","hear something","cog","cog","within domain","cog-cog","remember something-hear something",16
"pilot_2w19ksqx74","causal_trial_19",53180,83,"reach for something","think about something","act","cog","across domain","act-cog","reach for something-think about something",62
"pilot_2w19ksqx74","causal_trial_20",5543,60,"remember something","feel hungry","cog","bio","across domain","cog-bio","remember something-feel hungry",54
"pilot_2w19ksqx74","causal_trial_21",3472,50,"kick something","feel hungry","act","bio","across domain","act-bio","kick something-feel hungry",64
"pilot_2w19ksqx74","causal_trial_22",3478,97,"feel scared","feel sick","bio","bio","within domain","bio-bio","feel scared-feel sick",72
"pilot_2w19ksqx74","causal_trial_23",26295,75,"feel sick","feel scared","bio","bio","within domain","bio-bio","feel sick-feel scared",84
"pilot_2w19ksqx74","causal_trial_24",6128,80,"feel tired","choose what to do","bio","cog","across domain","bio-cog","feel tired-choose what to do",68
